Symbol	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Other_designations	Modification_date
ALDH7A1P2	ATQL2	HGNC:HGNC:879|Ensembl:ENSG00000232292	2	2q31.1	aldehyde dehydrogenase 7 family member A1 pseudogene 2	pseudo	ALDH7A1P2	aldehyde dehydrogenase 7 family member A1 pseudogene 2	"aldehyde dehydrogenase 7 family, member A1 pseudogene 2|antiquitin-like 2"	20210302
ALDH7A1P3	ATQL3	HGNC:HGNC:880	7	7q36.1	aldehyde dehydrogenase 7 family member A1 pseudogene 3	pseudo	ALDH7A1P3	aldehyde dehydrogenase 7 family member A1 pseudogene 3	antiquitin-like 3	20210302
ALDH7A1P4	ATQL4	HGNC:HGNC:881	10	10q21.2	aldehyde dehydrogenase 7 family member A1 pseudogene 4	pseudo	ALDH7A1P4	aldehyde dehydrogenase 7 family member A1 pseudogene 4	antiquitin-like 4	20210302
ATR	FCTCS|FRP1|MEC1|SCKL|SCKL1	MIM:601215|HGNC:HGNC:882|Ensembl:ENSG00000175054	3	3q23	ATR serine/threonine kinase	protein-coding	ATR	ATR serine/threonine kinase	"serine/threonine-protein kinase ATR|FRAP-related protein-1|MEC1, mitosis entry checkpoint 1, homolog|ataxia telangiectasia and Rad3-related protein"	20210302
ATRX	JMS|MRX52|RAD54|RAD54L|XH2|XNP|ZNF-HX	MIM:300032|HGNC:HGNC:886|Ensembl:ENSG00000085224	X	Xq21.1	ATRX chromatin remodeler	protein-coding	ATRX	ATRX chromatin remodeler	"transcriptional regulator ATRX|ATP-dependent helicase ATRX|X-linked helicase II|X-linked nuclear protein|alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)"	20210302
KIF1A	ATSV|C2orf20|HSN2C|MRD9|NESCAVS|SPG30|UNC104	MIM:601255|HGNC:HGNC:888|Ensembl:ENSG00000130294	2	2q37.3	kinesin family member 1A	protein-coding	KIF1A	kinesin family member 1A	"kinesin-like protein KIF1A|axonal transporter of synaptic vesicles|kinesin, heavy chain, member 1A, homolog of mouse|microtubule-based motor KIF1A|unc-104- and KIF1A-related protein"	20210302
AUH	-	MIM:600529|HGNC:HGNC:890|Ensembl:ENSG00000148090	9	9q22.31	AU RNA binding methylglutaconyl-CoA hydratase	protein-coding	AUH	AU RNA binding methylglutaconyl-CoA hydratase	"methylglutaconyl-CoA hydratase, mitochondrial|3-methylglutaconyl-CoA hydratase|AU RNA binding protein/enoyl-CoA hydratase|AU RNA-binding protein/enoyl-Coenzyme A hydratase|AU-binding protein/Enoyl-CoA hydratase|AU-specific RNA-binding enoyl-CoA hydratase|itaconyl-CoA hydratase"	20210302
AUP1	-	MIM:602434|HGNC:HGNC:891|Ensembl:ENSG00000115307	2	2p13.1	AUP1 lipid droplet regulating VLDL assembly factor	protein-coding	AUP1	AUP1 lipid droplet regulating VLDL assembly factor	lipid droplet-regulating VLDL assembly factor AUP1|ancient ubiquitous protein 1	20210302
AVP	ADH|ARVP|AVP-NPII|AVRP|VP	MIM:192340|HGNC:HGNC:894|Ensembl:ENSG00000101200	20	20p13	arginine vasopressin	protein-coding	AVP	arginine vasopressin	vasopressin-neurophysin 2-copeptin|antidiuretic hormone|copeptin|neurohypophyseal|prepro-AVP-NP II|prepro-arginine-vasopressin-neurophysin II|vasopressin-neurophysin II-copeptin	20210302
AVPR1A	AVPR V1a|AVPR1|V1aR	MIM:600821|HGNC:HGNC:895|Ensembl:ENSG00000166148	12	12q14.2	arginine vasopressin receptor 1A	protein-coding	AVPR1A	arginine vasopressin receptor 1A	vasopressin V1a receptor|SCCL vasopressin subtype 1a receptor|V1-vascular vasopressin receptor AVPR1A|V1a vasopressin receptor|antidiuretic hormone receptor 1A|vascular/hepatic-type arginine vasopressin receptor	20210307
AVPR1B	AVPR3|V1bR	MIM:600264|HGNC:HGNC:896|Ensembl:ENSG00000198049	1	1q32.1	arginine vasopressin receptor 1B	protein-coding	AVPR1B	arginine vasopressin receptor 1B	vasopressin V1b receptor|AVPR V1b|AVPR V3|antidiuretic hormone receptor 1B|arginine vasopressin receptor 3|pituitary vasopressin receptor 3|vasopressin V3 receptor	20210302
AVPR2	ADHR|DI1|DIR|DIR3|NDI|V2R	MIM:300538|HGNC:HGNC:897|Ensembl:ENSG00000126895	X	Xq28	arginine vasopressin receptor 2	protein-coding	AVPR2	arginine vasopressin receptor 2	vasopressin V2 receptor|AVPR V2|antidiuretic hormone receptor|renal-type arginine vasopressin receptor	20210307
AXL	ARK|JTK11|Tyro7|UFO	MIM:109135|HGNC:HGNC:905|Ensembl:ENSG00000167601	19	19q13.2	AXL receptor tyrosine kinase	protein-coding	AXL	AXL receptor tyrosine kinase	tyrosine-protein kinase receptor UFO|AXL oncogene|AXL transforming sequence/gene	20210302
AZF1	AZF|AZFA|SP3	MIM:415000	Y	Yq11	azoospermia factor 1	unknown	-	-	-	20191002
AZGP1	ZA2G|ZAG	MIM:194460|HGNC:HGNC:910|Ensembl:ENSG00000160862	7	7q22.1	"alpha-2-glycoprotein 1, zinc-binding"	protein-coding	AZGP1	"alpha-2-glycoprotein 1, zinc-binding"	"zinc-alpha-2-glycoprotein|Alpha-2-glycoprotein, zinc|Zn-alpha2-glycoprotein|testicular tissue protein Li 227|zn-alpha-2-GP|zn-alpha-2-glycoprotein"	20210307
AZU1	AZAMP|AZU|CAP37|HBP|HUMAZUR|NAZC|hHBP	MIM:162815|HGNC:HGNC:913|Ensembl:ENSG00000172232	19	19p13.3	azurocidin 1	protein-coding	AZU1	azurocidin 1	azurocidin|cationic antimicrobial protein 37|cationic antimicrobial protein CAP37|heparin-binding protein|neutrophil azurocidin	20210302
B2M	IMD43	MIM:109700|HGNC:HGNC:914|Ensembl:ENSG00000166710	15	15q21.1	beta-2-microglobulin	protein-coding	B2M	beta-2-microglobulin	beta-2-microglobulin|beta chain of MHC class I molecules|beta-2-microglobin	20210302
B2MR	-	MIM:109710|HGNC:HGNC:915	15	15q13-q15	beta-2-microglobulin regulator	unknown	B2MR	beta-2-microglobulin regulator	-	20190324
BAAT	BACAT|BAT	MIM:602938|HGNC:HGNC:932|Ensembl:ENSG00000136881	9	9q31.1	bile acid-CoA:amino acid N-acyltransferase	protein-coding	BAAT	bile acid-CoA:amino acid N-acyltransferase	bile acid-CoA:amino acid N-acyltransferase|bile acid CoA: amino acid N-acyltransferase (glycine N-choloyltransferase)|bile acid Coenzyme A: amino acid N-acyltransferase (glycine N-choloyltransferase)|bile acid-CoA thioesterase|choloyl-CoA hydrolase|long-chain fatty-acyl-CoA hydrolase	20210302
BACH1	BACH-1|BTBD24	MIM:602751|HGNC:HGNC:935|Ensembl:ENSG00000156273	21	21q21.3	BTB domain and CNC homolog 1	protein-coding	BACH1	BTB domain and CNC homolog 1	"transcription regulator protein BACH1|BTB and CNC homology 1, basic leucine zipper transcription factor 1|basic region leucine zipper transcriptional regulator BACH1"	20210302
BAD	BBC2|BCL2L8	MIM:603167|HGNC:HGNC:936|Ensembl:ENSG00000002330	11	11q13.1	BCL2 associated agonist of cell death	protein-coding	BAD	BCL2 associated agonist of cell death	bcl2-associated agonist of cell death|BCL-X/BCL-2 binding protein|BCL2-antagonist of cell death protein|BCL2-binding component 6|BCL2-binding protein|bcl-2-binding component 6|bcl-2-like protein 8|bcl-XL/Bcl-2-associated death promoter|bcl2 antagonist of cell death|bcl2-L-8	20210302
BAG1	BAG-1|HAP|RAP46	MIM:601497|HGNC:HGNC:937|Ensembl:ENSG00000107262	9	9p13.3	BAG cochaperone 1	protein-coding	BAG1	BAG cochaperone 1	"BAG family molecular chaperone regulator 1|BCL2 associated athanogene 1|BCL2-associated athanogene|Bcl-2 associating athanogene-1 protein|Bcl-2-binding protein|glucocortoid receptor-associated protein RAP46|receptor-associated protein, 46-KD"	20210302
BAGE	BAGE1|CT2.1	MIM:605167|HGNC:HGNC:942	21	21p11.1	B melanoma antigen	protein-coding	BAGE	B melanoma antigen	"B melanoma antigen 1|antigen MZ2-BA|cancer/testis antigen 2.1|cancer/testis antigen family 2, member 1"	20201118
ADGRB1	BAI1|GDAIF	MIM:602682|HGNC:HGNC:943|Ensembl:ENSG00000181790	8	8q24.3	adhesion G protein-coupled receptor B1	protein-coding	ADGRB1	adhesion G protein-coupled receptor B1	adhesion G protein-coupled receptor B1|brain-specific angiogenesis inhibitor 1	20210302
ADGRB2	BAI2	MIM:602683|HGNC:HGNC:944|Ensembl:ENSG00000121753	1	1p35.2	adhesion G protein-coupled receptor B2	protein-coding	ADGRB2	adhesion G protein-coupled receptor B2	adhesion G protein-coupled receptor B2|brain-specific angiogenesis inhibitor 2	20210302
ADGRB3	BAI3	MIM:602684|HGNC:HGNC:945|Ensembl:ENSG00000135298	6	6q12-q13	adhesion G protein-coupled receptor B3	protein-coding	ADGRB3	adhesion G protein-coupled receptor B3	adhesion G protein-coupled receptor B3|brain-specific angiogenesis inhibitor 3|dJ91B17.1 (brain-specific angiogenesis inhibitor 3)	20210302
BAK1	BAK|BAK-LIKE|BCL2L7|CDN1	MIM:600516|HGNC:HGNC:949|Ensembl:ENSG00000030110	6	6p21.31	BCL2 antagonist/killer 1	protein-coding	BAK1	BCL2 antagonist/killer 1	bcl-2 homologous antagonist/killer|BCL2-like 7 protein|apoptosis regulator BAK|bcl-2-like protein 7|bcl2-L-7|pro-apoptotic protein BAK	20210307
NKX3-2	BAPX1|NKX3.2|NKX3B|SMMD	MIM:602183|HGNC:HGNC:951|Ensembl:ENSG00000109705	4	4p15.33	NK3 homeobox 2	protein-coding	NKX3-2	NK3 homeobox 2	homeobox protein Nkx-3.2|bagpipe homeobox protein homolog 1|homeobox protein NK-3 homolog B	20210302
BARD1	-	MIM:601593|HGNC:HGNC:952|Ensembl:ENSG00000138376	2	2q35	BRCA1 associated RING domain 1	protein-coding	BARD1	BRCA1 associated RING domain 1	BRCA1-associated RING domain protein 1|BRCA1-associated RING domain gene 1|RING-type E3 ubiquitin transferase BARD1	20210307
BAX	BCL2L4	MIM:600040|HGNC:HGNC:959|Ensembl:ENSG00000087088	19	19q13.33	"BCL2 associated X, apoptosis regulator"	protein-coding	BAX	"BCL2 associated X, apoptosis regulator"	apoptosis regulator BAX|BCL2 associated X protein|BCL2-associated X protein omega|Baxdelta2G9|Baxdelta2G9omega|Baxdelta2omega|bcl-2-like protein 4|bcl2-L-4	20210307
BBS1	BBS2L2	MIM:209901|HGNC:HGNC:966|Ensembl:ENSG00000174483	11	11q13.2	Bardet-Biedl syndrome 1	protein-coding	BBS1	Bardet-Biedl syndrome 1	Bardet-Biedl syndrome 1 protein|BBS2-like protein 2	20210302
BBS2	BBS|RP74	MIM:606151|HGNC:HGNC:967|Ensembl:ENSG00000125124	16	16q13	Bardet-Biedl syndrome 2	protein-coding	BBS2	Bardet-Biedl syndrome 2	Bardet-Biedl syndrome 2 protein	20210302
BBS4	-	MIM:600374|HGNC:HGNC:969|Ensembl:ENSG00000140463	15	15q24.1	Bardet-Biedl syndrome 4	protein-coding	BBS4	Bardet-Biedl syndrome 4	Bardet-Biedl syndrome 4 protein	20210302
BCAT1	BCATC|BCT1|ECA39|MECA39|PNAS121|PP18	MIM:113520|HGNC:HGNC:976|Ensembl:ENSG00000060982	12	12p12.1	branched chain amino acid transaminase 1	protein-coding	BCAT1	branched chain amino acid transaminase 1	"branched-chain-amino-acid aminotransferase, cytosolic|branched chain amino-acid transaminase 1, cytosolic|branched chain aminotransferase 1, cytosolic|placental protein 18"	20210302
BCAT2	BCAM|BCATM|BCT2|HVLI|PP18	MIM:113530|HGNC:HGNC:977|Ensembl:ENSG00000105552	19	19q13.33	branched chain amino acid transaminase 2	protein-coding	BCAT2	branched chain amino acid transaminase 2	"branched-chain-amino-acid aminotransferase, mitochondrial|branched chain amino-acid transaminase 2, mitochondrial|branched chain aminotransferase 2, mitochondrial|placental protein 18"	20210302
BCHE	BCHED|CHE1|CHE2|E1	MIM:177400|HGNC:HGNC:983|Ensembl:ENSG00000114200	3	3q26.1	butyrylcholinesterase	protein-coding	BCHE	butyrylcholinesterase	cholinesterase|acylcholine acylhydrolase|butyrylcholine esterase|choline esterase II|cholinesterase (serum) 2|cholinesterase 1|pseudocholinesterase	20210302
BCKDHA	BCKDE1A|MSU|MSUD1|OVD1A	MIM:608348|HGNC:HGNC:986|Ensembl:ENSG00000248098	19	19q13.2	branched chain keto acid dehydrogenase E1 subunit alpha	protein-coding	BCKDHA	branched chain keto acid dehydrogenase E1 subunit alpha	"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial|2-oxoisovalerate dehydrogenase (lipoamide)|BCKDH E1-alpha|branched chain keto acid dehydrogenase E1 alpha protein|branched chain keto acid dehydrogenase E1, alpha polypeptide|branched-chain alpha-keto acid dehydrogenase E1 component alpha chain"	20210302
BCKDHB	BCKDE1B|BCKDH E1-beta|E1B	MIM:248611|HGNC:HGNC:987|Ensembl:ENSG00000083123	6	6q14.1	branched chain keto acid dehydrogenase E1 subunit beta	protein-coding	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial|E1b-beta subunit of the branched-chain complex|branched chain alpha-ketoacid dehydrogenase E1-beta subunit|branched chain keto acid dehydrogenase E1, beta polypeptide|branched-chain alpha-keto acid dehydrogenase E1 component beta chain|testis secretory sperm-binding protein Li 240mP"	20210302
CCND1	BCL1|D11S287E|PRAD1|U21B31	MIM:168461|HGNC:HGNC:1582|Ensembl:ENSG00000110092	11	11q13.3	cyclin D1	protein-coding	CCND1	cyclin D1	G1/S-specific cyclin-D1|B-cell CLL/lymphoma 1|B-cell lymphoma 1 protein|BCL-1 oncogene|PRAD1 oncogene	20210302
BCL2	Bcl-2|PPP1R50	MIM:151430|HGNC:HGNC:990|Ensembl:ENSG00000171791	18	18q21.33	BCL2 apoptosis regulator	protein-coding	BCL2	BCL2 apoptosis regulator	"apoptosis regulator Bcl-2|B-cell CLL/lymphoma 2|protein phosphatase 1, regulatory subunit 50"	20210307
BCL2A1	ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1	MIM:601056|HGNC:HGNC:991|Ensembl:ENSG00000140379	15	15q25.1	BCL2 related protein A1	protein-coding	BCL2A1	BCL2 related protein A1	bcl-2-related protein A1|bcl-2-like protein 5|bcl2-L-5|hematopoietic BCL2-related protein A1|hemopoietic-specific early response protein|protein BFL-1	20210302
BCL2L1	BCL-XL/S|BCL2L|BCLX|Bcl-X|PPP1R52	MIM:600039|HGNC:HGNC:992|Ensembl:ENSG00000171552	20	20q11.21	BCL2 like 1	protein-coding	BCL2L1	BCL2 like 1	"bcl-2-like protein 1|apoptosis regulator Bcl-X|protein phosphatase 1, regulatory subunit 52"	20210307
BCL2L2	BCL-W|BCL2-L-2|BCLW|PPP1R51	MIM:601931|HGNC:HGNC:995|Ensembl:ENSG00000129473	14	14q11.2	BCL2 like 2	protein-coding	BCL2L2	BCL2 like 2	"bcl-2-like protein 2|apoptosis regulator BCL-W|protein phosphatase 1, regulatory subunit 51"	20210302
BAK1P1	BAK2|BCL2L7P1|Bak-2	HGNC:HGNC:996	20	20q11.21	BCL2 antagonist/killer 1 pseudogene 1	pseudo	BAK1P1	BCL2 antagonist/killer 1 pseudogene 1	BCL2-like 7 pseudogene 1	20210302
BAK1P2	BAK3|BAK3P|BCL2L7P2	HGNC:HGNC:997	11	11q24.3	BCL2 antagonist/killer 1 pseudogene 2	pseudo	BAK1P2	BCL2 antagonist/killer 1 pseudogene 2	BCL2-like 7 pseudogene 2	20210302
BCL3	BCL4|D19S37	MIM:109560|HGNC:HGNC:998|Ensembl:ENSG00000069399	19	19q13.32	BCL3 transcription coactivator	protein-coding	BCL3	BCL3 transcription coactivator	B-cell lymphoma 3 protein|B cell CLL/lymphoma 3|B-cell leukemia/lymphoma 3|B-cell lymphoma 3-encoded protein|BCL-3|chronic lymphatic leukemia protein|proto-oncogene BCL3	20210302
BCL5	-	MIM:151441	17	17q22	B cell CLL/lymphoma 5	unknown	-	-	-	20191002
BCL6	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	MIM:109565|HGNC:HGNC:1001|Ensembl:ENSG00000113916	3	3q27.3	BCL6 transcription repressor	protein-coding	BCL6	BCL6 transcription repressor	B-cell lymphoma 6 protein|B cell CLL/lymphoma 6|B-cell lymphoma 5 protein|B-cell lymphoma 6 protein transcript|BCL-5|BCL-6|cys-his2 zinc finger transcription factor|lymphoma-associated zinc finger gene on chromosome 3|protein LAZ-3|zinc finger and BTB domain-containing protein 27|zinc finger protein 51|zinc finger transcription factor BCL6S	20210307
BCL7A	BCL7	MIM:601406|HGNC:HGNC:1004|Ensembl:ENSG00000110987	12	12q24.31	BAF chromatin remodeling complex subunit BCL7A	protein-coding	BCL7A	BAF chromatin remodeling complex subunit BCL7A	"B-cell CLL/lymphoma 7 protein family member A|B-cell CLL/lymphoma 7A|B-cell CLL/lymphoma-7|BCL tumor suppressor 7A|BCL7A, BAF complex component"	20210302
NBEAP1	BCL8|BCL8A	MIM:601889|HGNC:HGNC:1007	15	15q11.2	neurobeachin pseudogene 1	pseudo	NBEAP1	neurobeachin pseudogene 1	B-cell CLL/lymphoma 8	20210302
BCL9	LGS	MIM:602597|HGNC:HGNC:1008|Ensembl:ENSG00000116128	1	1q21.2	BCL9 transcription coactivator	protein-coding	BCL9	BCL9 transcription coactivator	B-cell CLL/lymphoma 9 protein|B cell CLL/lymphoma 9|B-cell lymphoma 9 protein|bcl-9|protein legless homolog	20210302
TNFRSF17	BCM|BCMA|CD269|TNFRSF13A	MIM:109545|HGNC:HGNC:11913|Ensembl:ENSG00000048462	16	16p13.13	TNF receptor superfamily member 17	protein-coding	TNFRSF17	TNF receptor superfamily member 17	tumor necrosis factor receptor superfamily member 17|B cell maturation antigen|B-cell maturation factor|B-cell maturation protein	20210302
HCN2	BCNG-2|BCNG2|HAC-1	MIM:602781|HGNC:HGNC:4846|Ensembl:ENSG00000099822	19	19p13.3	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	protein-coding	HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2|brain cyclic nucleotide-gated channel 2|hyperpolarization activated cyclic nucleotide gated potassium channel 2	20210302
OPN1SW	BCP|BOP|CBT	MIM:613522|HGNC:HGNC:1012|Ensembl:ENSG00000128617	7	7q32.1	"opsin 1, short wave sensitive"	protein-coding	OPN1SW	"opsin 1, short wave sensitive"	"short-wave-sensitive opsin 1|blue cone photoreceptor pigment|blue-sensitive opsin|opsin 1 (cone pigments), short-wave-sensitive"	20210307
BCR	ALL|BCR1|CML|D22S11|D22S662|PHL	MIM:151410|HGNC:HGNC:1014|Ensembl:ENSG00000186716	22	22q11.23	BCR activator of RhoGEF and GTPase	protein-coding	BCR	BCR activator of RhoGEF and GTPase	"breakpoint cluster region protein|BCR, RhoGEF and GTPase activating protein|BCR/FGFR1 chimera protein|FGFR1/BCR chimera protein|breakpoint cluster region|renal carcinoma antigen NY-REN-26"	20210302
BCRP4	BCR-4|BCR4|BCRL4	HGNC:HGNC:1017|Ensembl:ENSG00000215456	22	22q11.22	BCR pseudogene 4	pseudo	BCRP4	BCR pseudogene 4	breakpoint cluster region pseudogene 4|breakpoint cluster region-like 4	20210302
BCS1L	BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS|h-BCS1	MIM:603647|HGNC:HGNC:1020|Ensembl:ENSG00000074582	2	2q35	"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"	protein-coding	BCS1L	"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"	mitochondrial chaperone BCS1|BC1 (ubiquinol-cytochrome c reductase) synthesis-like|BCS1-like protein|mitochondrial complex III assembly	20210302
BCYRN1	BC200|BC200a|LINC00004|NCRNA00004	MIM:606089|HGNC:HGNC:1022|Ensembl:ENSG00000236824	2	2p21	brain cytoplasmic RNA 1	ncRNA	BCYRN1	brain cytoplasmic RNA 1	"BC200-alpha|brain cytoplasmic RNA 1 (analog of mouse Bc1)|brain cytoplasmic RNA 1 (non-protein coding)|brain cytoplasmic RNA 1, Bc1 analog|brain cytoplasmic RNA 200-alpha|long intergenic non-protein coding RNA 4|non-protein coding RNA 4"	20210302
BCYRN1P1	BC200b	HGNC:HGNC:1023	X	Xq27.1	"brain cytoplasmic RNA 1, pseudogene 1"	pseudo	BCYRN1P1	"brain cytoplasmic RNA 1, pseudogene 1"	-	20210302
BCYRN1P2	BC200g	HGNC:HGNC:1024	1	1q42	"brain cytoplasmic RNA 1, pseudogene 2"	pseudo	BCYRN1P2	"brain cytoplasmic RNA 1, pseudogene 2"	-	20190213
BDH1	BDH|SDR9C1	MIM:603063|HGNC:HGNC:1027|Ensembl:ENSG00000161267	3	3q29	3-hydroxybutyrate dehydrogenase 1	protein-coding	BDH1	3-hydroxybutyrate dehydrogenase 1	"D-beta-hydroxybutyrate dehydrogenase, mitochondrial|(R)-3-hydroxybutyrate dehydrogenase|3-hydroxybutyrate dehydrogenase (heart, mitochondrial)|3-hydroxybutyrate dehydrogenase, type 1|epididymis secretory sperm binding protein|short chain dehydrogenase/reductase family 9C member 1"	20210302
BDKRB1	B1BKR|B1R|BKB1R|BKR1|BRADYB1	MIM:600337|HGNC:HGNC:1029|Ensembl:ENSG00000100739	14	14q32.2	bradykinin receptor B1	protein-coding	BDKRB1	bradykinin receptor B1	B1 bradykinin receptor|BK-1 receptor|bradykinin B1 receptor|bradykinin receptor 1	20210302
BDKRB2	B2R|BK-2|BK2|BKR2|BRB2	MIM:113503|HGNC:HGNC:1030|Ensembl:ENSG00000168398	14	14q32.2	bradykinin receptor B2	protein-coding	BDKRB2	bradykinin receptor B2	B2 bradykinin receptor|BK-2 receptor	20210302
BDNF	ANON2|BULN2	MIM:113505|HGNC:HGNC:1033|Ensembl:ENSG00000176697	11	11p14.1	brain derived neurotrophic factor	protein-coding	BDNF	brain derived neurotrophic factor	brain-derived neurotrophic factor|abrineurin|neurotrophin	20210307
BEVI	-	MIM:109180	6	-	baboon M7 virus integration site	unknown	-	-	Baboon M7 virus replication	20200625
CFB	AHUS4|ARMD14|BF|BFD|CFAB|CFBD|FB|FBI12|GBG|H2-Bf|PBF2	MIM:138470|HGNC:HGNC:1037|Ensembl:ENSG00000243649	6	6p21.33	complement factor B	protein-coding	CFB	complement factor B	"complement factor B|B-factor, properdin|C3 proaccelerator|C3 proactivator|C3/C5 convertase|glycine-rich beta-glycoprotein|properdin factor B"	20210302
BFSP1	CP115|CP94|CTRCT33|LIFL-H	MIM:603307|HGNC:HGNC:1040|Ensembl:ENSG00000125864	20	20p12.1	beaded filament structural protein 1	protein-coding	BFSP1	beaded filament structural protein 1	"filensin|beaded filament structural protein 1, filensin|cytoskeletal protein, 115 KD|lens fiber cell beaded-filament structural protein CP 115|lens intermediate filament-like heavy"	20210302
BGLAP	BGP|OC|OCN	MIM:112260|HGNC:HGNC:1043|Ensembl:ENSG00000242252	1	1q22	bone gamma-carboxyglutamate protein	protein-coding	BGLAP	bone gamma-carboxyglutamate protein	osteocalcin|bone gamma-carboxyglutamate (gla) protein (osteocalcin)|gamma-carboxyglutamic acid-containing protein	20210307
BGN	DSPG1|MRLS|PG-S1|PGI|SEMDX|SLRR1A	MIM:301870|HGNC:HGNC:1044|Ensembl:ENSG00000182492	X	Xq28	biglycan	protein-coding	BGN	biglycan	biglycan|bone/cartilage proteoglycan-I|dermatan sulphate proteoglycan I|small leucine-rich protein 1A	20210302
CEACAM1	BGP|BGP1|BGPI	MIM:109770|HGNC:HGNC:1814|Ensembl:ENSG00000079385	19	19q13.2	CEA cell adhesion molecule 1	protein-coding	CEACAM1	CEA cell adhesion molecule 1	carcinoembryonic antigen-related cell adhesion molecule 1|CD66a antigen|antigen CD66|carcinoembryonic antigen related cell adhesion molecule 1|carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	20210302
